family,metric,setting,scenario,pool,patient_id,eval_role,assignment_group,treatment,control,delta
generic_t140,negative_MSE_FP32,mean_8,E,mean,29437,selection,A,-0.2851430308073759,-0.28539629466831684,0.00025326386094093323
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,14393,fit,A,-35.73865509033203,-35.75487518310547,0.0162200927734375
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,172,selection,B,-38.9097183227539,-38.90652694702149,-0.0031913757324133485
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,359,selection,B,-35.88424491882324,-35.894066619873044,0.009821701049801845
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,1052,selection,B,-38.8384895324707,-38.865276718139654,0.026787185668950997
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,1906,selection,A,-37.44169540405274,-37.47101936340332,0.029323959350584516
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,2032,selection,B,-38.205909729003906,-38.22848548889161,0.022575759887700997
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,2247,selection,B,-36.259701538085935,-36.27072181701661,0.011020278930672589
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,2359,selection,A,-39.46133613586426,-39.45758590698242,-0.0037502288818345164
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,3308,selection,B,-33.99760093688965,-34.004968261718744,0.007367324829097299
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,3832,selection,A,-37.98507461547852,-37.9831485748291,-0.0019260406494154836
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,4092,selection,A,-37.28642349243164,-37.27789268493652,-0.00853080749512003
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,4992,selection,B,-37.74286422729492,-37.785438537597656,0.042574310302732954
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,5376,selection,B,-34.9911979675293,-35.00528144836426,0.014083480834955253
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,5722,selection,A,-37.53029022216796,-37.5573112487793,0.02702102661133665
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,6881,selection,A,-37.18895263671875,-37.21365509033203,0.02470245361327983
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,6985,selection,B,-36.747108459472656,-36.80673675537109,0.05962829589843466
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,7932,selection,B,-37.60815620422363,-37.644541549682614,0.03638534545898153
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,8168,selection,A,-39.65428581237793,-39.66176338195801,0.007477569580082388
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,11436,selection,B,-40.55558853149414,-40.53855171203613,-0.01703681945800639
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,12018,selection,A,-37.22175407409668,-37.25188407897949,0.030130004882806816
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,12050,selection,A,-36.73898506164551,-36.78163719177246,0.042652130126953125
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,12097,selection,A,-36.0744930267334,-36.09079093933106,0.01629791259765767
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,13567,selection,A,-38.08180313110351,-38.10060424804688,0.01880111694336506
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,14307,selection,A,-36.05833969116211,-36.06329917907715,0.004959487915037641
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,14362,selection,A,-36.25270500183105,-36.28636322021484,0.0336582183837848
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,15492,selection,B,-35.91624031066894,-35.92880783081054,0.012567520141601562
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,15594,selection,A,-37.344921875,-37.38479919433594,0.039877319335943184
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,16550,selection,B,-39.28914833068848,-39.28115234375,-0.007995986938475141
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,16919,selection,B,-35.84788513183594,-35.89362411499023,0.04573898315429403
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,17927,selection,B,-36.92873878479004,-36.95004158020019,0.021302795410150566
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,18224,selection,A,-38.993293380737306,-39.005276107788085,0.011982727050778408
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,18614,selection,A,-35.99316596984863,-35.94455184936524,-0.04861412048339275
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,20106,selection,B,-38.01135368347168,-38.05709228515625,0.04573860168456889
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,21572,selection,A,-34.88665504455567,-34.88849411010742,0.0018390655517563914
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,21970,selection,B,-37.108270263671876,-37.15073127746582,0.042461013793946734
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,22835,selection,B,-37.92930603027344,-37.958100128173825,0.028794097900387783
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,25150,selection,A,-37.623842620849615,-37.68059883117676,0.056756210327144174
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,25514,selection,B,-37.34916954040527,-37.40909080505371,0.0599212646484375
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,25680,selection,B,-36.3602783203125,-36.38278923034668,0.022510910034178266
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,28655,selection,A,-37.13515853881836,-37.16557312011719,0.030414581298828125
cdi_dl_t100,negative_L2_FP32,mean_5,U,mean,29437,selection,A,-36.74008140563965,-36.753336334228514,0.013254928588864345
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,14393,fit,A,-36.381277084350586,-36.41712493896485,0.035847854614260655
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,172,selection,B,-40.14551048278808,-40.16034164428711,0.014831161499024859
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,359,selection,B,-37.48622512817383,-37.48057060241699,-0.00565452575683878
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,1052,selection,B,-38.047546768188475,-38.06479682922364,0.017250061035163355
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,1906,selection,A,-37.14016609191894,-37.16564865112305,0.025482559204107247
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,2032,selection,B,-37.900258255004886,-37.925950622558595,0.025692367553709516
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,2247,selection,B,-36.25040245056152,-36.29729423522949,0.046891784667963066
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,2359,selection,A,-40.842391586303705,-40.835432815551755,-0.006958770751950283
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,3308,selection,B,-33.99903831481934,-33.98356742858887,-0.015470886230467329
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,3832,selection,A,-37.1140811920166,-37.1258529663086,0.011771774292000714
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,4092,selection,A,-38.15575981140137,-38.15904541015625,0.0032855987548856547
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,4992,selection,B,-37.93067626953125,-37.94797477722168,0.01729850769043395
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,5376,selection,B,-36.63352508544922,-36.6543571472168,0.020832061767578125
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,5722,selection,A,-37.316301345825195,-37.339886093139654,0.02358474731445881
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,6881,selection,A,-35.997330856323245,-36.02375106811523,0.026420211791986503
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,6985,selection,B,-36.94533729553223,-36.99658393859863,0.05124664306640625
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,7932,selection,B,-37.79961738586425,-37.802734756469725,0.0031173706054730133
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,8168,selection,A,-39.9702507019043,-39.953737640380865,-0.016513061523433237
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,11436,selection,B,-39.99411811828613,-40.01396980285645,0.019851684570319605
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,12018,selection,A,-38.72744293212891,-38.73294563293457,0.0055027008056640625
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,12050,selection,A,-36.7893569946289,-36.80064506530762,0.011288070678716622
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,12097,selection,A,-36.28971977233887,-36.308264541625974,0.01854476928710369
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,13567,selection,A,-38.89344329833985,-38.89599380493164,0.002550506591795454
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,14307,selection,A,-35.1284164428711,-35.161563110351565,0.03314666748046591
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,14362,selection,A,-35.65123252868652,-35.69277000427246,0.04153747558594034
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,15492,selection,B,-35.57772560119629,-35.60074234008789,0.02301673889159872
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,15594,selection,A,-38.17635040283203,-38.220211029052734,0.04386062622070597
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,16550,selection,B,-35.75141067504883,-35.75632591247559,0.0049152374267578125
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,16919,selection,B,-35.928896331787115,-35.94958076477051,0.020684432983394174
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,17927,selection,B,-37.9182846069336,-37.949975585937494,0.031690979003897723
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,18224,selection,A,-38.33728866577148,-38.38572883605957,0.04844017028808878
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,18614,selection,A,-35.17677841186523,-35.16140022277832,-0.0153781890869098
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,20106,selection,B,-37.81500587463379,-37.84110374450684,0.026097869873048296
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,21572,selection,A,-36.62580604553223,-36.63143310546875,0.005627059936522016
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,21970,selection,B,-35.46221313476562,-35.47567787170411,0.013464736938487931
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,22835,selection,B,-37.27089576721191,-37.293615722656256,0.022719955444344464
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,25150,selection,A,-37.6589973449707,-37.67152099609375,0.012523651123046875
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,25514,selection,B,-37.82958908081055,-37.8881217956543,0.05853271484375
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,25680,selection,B,-35.764549255371094,-35.78929748535157,0.024748229980474434
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,28655,selection,A,-37.92696723937988,-37.95911407470703,0.03214683532715412
cdi_dl_t100,negative_L2_FP32,mean_5,E,mean,29437,selection,A,-37.10156326293945,-37.10268669128418,0.0011234283447265625
