arm,method,scenario,clean_primary,D_p_p,D_p_q,D_q_p,D_q_q,R_p,R_q,K,both_positive_arithmetic
leave_patient_out79_refit,cdi_image_max_fixed,E,True,0.05851313110667122,0.05610450165793934,0.09853611961410563,-0.04810393399123969,-0.04002298850743441,-0.10420843564917903,-0.14423142415661344,False
leave_patient_out79_refit,cdi_image_max_tuned,E,False,0.0015704349183963684,0.007588553028238576,0.006849355232799614,0.00013947236437827915,-0.005278920314403246,-0.007449080663860297,-0.012728000978263543,False
leave_patient_out79_refit,patient_mean26_fixed,E,True,-0.002613000974690416,0.0876915958093713,-0.07760618248718715,-0.05404448905462789,0.07499318151249673,-0.1417360848639992,-0.06674290335150246,False
leave_patient_out79_refit,patient_mean26_tuned,E,False,0.006555555073377128,0.009945192855097207,-0.0018332280090458397,0.0025424895451883756,0.008388783082422968,-0.007402703309908831,0.0009860797725141368,False
leave_patient_out79_refit,patient_meanmax52_fixed,E,True,0.004671751394718315,0.006218983318213522,0.022856200203762223,-0.0715509407219041,-0.018184448809043907,-0.07776992404011762,-0.09595437284916153,False
leave_patient_out79_refit,patient_meanmax52_tuned,E,False,0.007854742893965483,0.01731525050769389,0.010260696072909248,0.0028150216825067464,-0.002405953178943765,-0.014500228825187145,-0.01690618200413091,False
leave_patient_out79_refit,dl_mean,E,False,0.035846710205078125,0.0032825469970703125,-0.009380340576171875,0.0189971923828125,0.04522705078125,0.015714645385742188,0.06094169616699219,True
leave_patient_out79_refit,dl_max,E,False,0.0350799560546875,0.003215789794921875,-0.0302734375,0.00867462158203125,0.0653533935546875,0.005458831787109375,0.07081222534179688,True
leave_patient_out79_refit,secmi_mean,E,False,-0.001020028255879879,3.285706043243408e-05,-0.001064525917172432,0.0016277693212032318,4.449766129255295e-05,0.0015949122607707977,0.0016394099220633507,True
leave_patient_out79_refit,secmi_max,E,False,-0.00031658075749874115,-0.00020517781376838684,-0.0003881361335515976,0.0013959258794784546,7.155537605285645e-05,0.0016011036932468414,0.0016726590692996979,True
leave_patient_out79_refit,pia_mean,E,False,0.0060062408447265625,0.01602482795715332,0.009879708290100098,0.0068891048431396484,-0.003873467445373535,-0.009135723114013672,-0.013009190559387207,False
leave_patient_out79_refit,pia_max,E,False,-0.027385950088500977,0.007007122039794922,0.010601997375488281,-0.0027341842651367188,-0.03798794746398926,-0.00974130630493164,-0.0477292537689209,False
leave_patient_out79_refit,pian_mean,E,False,0.1290736198425293,0.043326377868652344,0.03345823287963867,0.04588603973388672,0.09561538696289062,0.002559661865234375,0.098175048828125,True
leave_patient_out79_refit,pian_max,E,False,0.038219451904296875,0.04784965515136719,-0.04643726348876953,0.03069782257080078,0.0846567153930664,-0.017151832580566406,0.0675048828125,False
leave_patient_out79_refit,patient_meanmax54_noobjective_fixed,E,False,0.0009469453694401775,0.012830076876329866,0.02123846684842068,-0.06531885419794115,-0.0202915214789805,-0.07814893107427101,-0.09844045255325151,False
leave_patient_out79_refit,patient_meanmax54_noobjective_tuned,E,False,0.004574300738303894,0.018439691586952023,0.010503011697399534,0.003990111484679926,-0.00592871095909564,-0.014449580102272097,-0.020378291061367737,False
