contrast_type,model,contrast_id,role,a_method,a_fit_scenario,a_evaluation_scenario,b_method,b_fit_scenario,b_evaluation_scenario,selection_delta_AUC,paired_CI95_low,paired_CI95_high
cross_cell_contrasts,model_2,E_fit_advantage_on_E,predeclared_cross_cell,cdi_image_mean_fixed,E,E,cdi_image_mean_fixed,U,E,0.125,-0.08999999999999997,0.33006249999999965
cross_cell_contrasts,model_2,E_fitted_score_transfer_to_U,predeclared_cross_cell,cdi_image_mean_tuned,E,U,cdi_image_mean_tuned,E,E,-0.13500000000000006,-0.3550625,0.08499999999999996
cross_cell_contrasts,model_2,U_fit_recovery_on_U,predeclared_cross_cell,cdi_image_mean_tuned,U,U,cdi_image_mean_tuned,E,U,0.12250000000000011,-0.08756250000000002,0.33
cross_cell_contrasts,model_2,E_fit_advantage_on_E,predeclared_cross_cell,cdi_image_mean_tuned,E,E,cdi_image_mean_tuned,U,E,0.07000000000000006,-0.14256250000000006,0.2849999999999999
cross_cell_contrasts,model_2,E_fitted_score_transfer_to_U,predeclared_cross_cell,cdi_image_max_fixed,E,U,cdi_image_max_fixed,E,E,-0.17499999999999993,-0.4175625,0.09249999999999992
cross_cell_contrasts,model_2,U_fit_recovery_on_U,predeclared_cross_cell,cdi_image_max_fixed,U,U,cdi_image_max_fixed,E,U,0.08499999999999996,-0.11249999999999999,0.2775
cross_cell_contrasts,model_2,E_fit_advantage_on_E,predeclared_cross_cell,cdi_image_max_fixed,E,E,cdi_image_max_fixed,U,E,0.08250000000000002,-0.15000000000000002,0.29749999999999993
cross_cell_contrasts,model_2,E_fitted_score_transfer_to_U,predeclared_cross_cell,cdi_image_max_tuned,E,U,cdi_image_max_tuned,E,E,-0.2400000000000001,-0.48512500000000003,0.01750000000000007
cross_cell_contrasts,model_2,U_fit_recovery_on_U,predeclared_cross_cell,cdi_image_max_tuned,U,U,cdi_image_max_tuned,E,U,0.08500000000000002,-0.09500000000000003,0.27749999999999997
cross_cell_contrasts,model_2,E_fit_advantage_on_E,predeclared_cross_cell,cdi_image_max_tuned,E,E,cdi_image_max_tuned,U,E,0.13250000000000006,-0.039999999999999925,0.3050624999999997
cross_cell_contrasts,model_2,E_fitted_score_transfer_to_U,predeclared_cross_cell,patient_mean26_fixed,E,U,patient_mean26_fixed,E,E,-0.08499999999999996,-0.3375,0.17506249999999965
cross_cell_contrasts,model_2,U_fit_recovery_on_U,predeclared_cross_cell,patient_mean26_fixed,U,U,patient_mean26_fixed,E,U,0.07250000000000001,-0.1450625,0.28006249999999966
cross_cell_contrasts,model_2,E_fit_advantage_on_E,predeclared_cross_cell,patient_mean26_fixed,E,E,patient_mean26_fixed,U,E,0.0674999999999999,-0.175,0.305
cross_cell_contrasts,model_2,E_fitted_score_transfer_to_U,predeclared_cross_cell,patient_mean26_tuned,E,U,patient_mean26_tuned,E,E,-0.12750000000000006,-0.345,0.08750000000000002
cross_cell_contrasts,model_2,U_fit_recovery_on_U,predeclared_cross_cell,patient_mean26_tuned,U,U,patient_mean26_tuned,E,U,0.07500000000000007,-0.10249999999999998,0.2525
cross_cell_contrasts,model_2,E_fit_advantage_on_E,predeclared_cross_cell,patient_mean26_tuned,E,E,patient_mean26_tuned,U,E,0.09500000000000008,-0.13,0.3125
cross_cell_contrasts,model_2,E_fitted_score_transfer_to_U,predeclared_cross_cell,patient_meanmax52_fixed,E,U,patient_meanmax52_fixed,E,E,-0.24250000000000005,-0.48749999999999993,0.02749999999999997
cross_cell_contrasts,model_2,U_fit_recovery_on_U,predeclared_cross_cell,patient_meanmax52_fixed,U,U,patient_meanmax52_fixed,E,U,0.30999999999999994,0.06237500000000001,0.5475
cross_cell_contrasts,model_2,E_fit_advantage_on_E,predeclared_cross_cell,patient_meanmax52_fixed,E,E,patient_meanmax52_fixed,U,E,0.09499999999999997,-0.13756250000000006,0.33506249999999965
cross_cell_contrasts,model_2,E_fitted_score_transfer_to_U,predeclared_cross_cell,patient_meanmax52_tuned,E,U,patient_meanmax52_tuned,E,E,-0.1725,-0.3800625,0.05499999999999994
