family,method,budget,clipped_mse,mc_se,actual_mean_cost,cost_mc_se,calibration_mean_cost
F4_boundary_heterogeneous,oracle_charged_B16,16,0.00434427521249905,6.748000076018973e-05,15.970703125,0.015623800337251,16.0
F5_outside_homogeneous,fixed_R1,,0.022288043310007423,3.331124711642112e-05,1.0,0.0,1
F5_outside_homogeneous,fixed_R2,,0.011205031525245806,1.6186192718605685e-05,2.0,0.0,2
F5_outside_homogeneous,fixed_R4,,0.005623422674293072,7.950832451607772e-06,4.0,0.0,4
F5_outside_homogeneous,fixed_R8,,0.0028138338941357264,3.979127453665524e-06,8.0,0.0,8
F5_outside_homogeneous,fixed_R16,,0.0014046039520590305,1.9895508925421783e-06,16.0,0.0,16
F5_outside_homogeneous,raw_B4,4,0.011249692102770988,1.7159261665089603e-05,4.003265380859375,0.0008698049377050526,4.0
F5_outside_homogeneous,matched_fixed_for_raw_B4,4,0.005623422674293072,7.950832451607772e-06,4.0,0.0,4.0
F5_outside_homogeneous,geometry_B4,4,0.011234261076112657,1.6912323467645705e-05,4.002960205078125,0.0007878421172856186,4.0
F5_outside_homogeneous,matched_fixed_for_geometry_B4,4,0.005623422674293072,7.950832451607772e-06,4.0,0.0,4.0
F5_outside_homogeneous,oracle_free_B4,4,0.005623422674293072,7.950832451607772e-06,4.0,0.0,4.0
F5_outside_homogeneous,oracle_charged_B4,4,0.011205031525245806,1.6186192718605685e-05,4.0,0.0,4.0
F5_outside_homogeneous,raw_B8,8,0.004233283498614678,9.876107104086618e-06,7.9737548828125,0.010947379374866187,8.0
F5_outside_homogeneous,matched_fixed_for_raw_B8,8,0.0028138338941357264,3.979127453665524e-06,8.0,0.0,8.0
F5_outside_homogeneous,geometry_B8,8,0.004222640450243767,9.890057949420932e-06,7.9967041015625,0.01097645566217299,8.0
F5_outside_homogeneous,matched_fixed_for_geometry_B8,8,0.0028138338941357264,3.979127453665524e-06,8.0,0.0,8.0
F5_outside_homogeneous,oracle_free_B8,8,0.0028138338941357264,3.979127453665524e-06,8.0,0.0,8.0
F5_outside_homogeneous,oracle_charged_B8,8,0.004219648143535608,6.316374850054418e-06,8.0,0.0,8.0
F5_outside_homogeneous,raw_B16,16,0.0017623643555473166,4.2469883339273834e-06,15.96142578125,0.01915041903952701,16.0
F5_outside_homogeneous,matched_fixed_for_raw_B16,16,0.0014046039520590305,1.9895508925421783e-06,16.0,0.0,16.0
F5_outside_homogeneous,geometry_B16,16,0.0017509509490429872,4.205127977455308e-06,16.015625,0.019036897289865583,16.0
F5_outside_homogeneous,matched_fixed_for_geometry_B16,16,0.0014046039520590305,1.9895508925421783e-06,16.0,0.0,16.0
F5_outside_homogeneous,oracle_free_B16,16,0.0014046039520590305,1.9895508925421783e-06,16.0,0.0,16.0
F5_outside_homogeneous,oracle_charged_B16,16,0.0017549551792817057,3.7895888832828575e-06,16.00634765625,0.015625398159629697,16.0
F6_correlated_plane_outside,fixed_R1,,0.03103764215387434,0.00030613411668154236,1.0,0.0,1
F6_correlated_plane_outside,fixed_R2,,0.01553541872546559,0.0001561606865615456,2.0,0.0,2
F6_correlated_plane_outside,fixed_R4,,0.007947387917059557,8.092349534097334e-05,4.0,0.0,4
F6_correlated_plane_outside,fixed_R8,,0.004057796297699049,4.2638060592523126e-05,8.0,0.0,8
F6_correlated_plane_outside,fixed_R16,,0.0020524821087191105,2.139899522749029e-05,16.0,0.0,16
F6_correlated_plane_outside,raw_B4,4,0.02101319988568235,0.00023723067718608653,4.012847900390625,0.007302294448611022,4.0
